Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",23.000000,-20.000000,90.000000,top
"C2","10u","C_0603_1608Metric",4.500000,-40.000000,0.000000,top
"C3","10u","C_0603_1608Metric",8.000000,-36.500000,90.000000,top
"C4","100n","C_0402_1005Metric",45.500000,-21.500000,90.000000,top
"C5","100n","C_0402_1005Metric",29.000000,-27.500000,90.000000,top
"C6","100n","C_0402_1005Metric",45.500000,-25.000000,90.000000,top
"C7","100n","C_0402_1005Metric",26.500000,-6.300000,90.000000,top
"C8","22u","C_0805_2012Metric",26.500000,-36.000000,90.000000,top
"C9","100n","C_0402_1005Metric",19.000000,-36.900000,90.000000,top
"C10","1u","C_0402_1005Metric",23.000000,-27.000000,90.000000,top
"C11","100n","C_0402_1005Metric",9.500000,-36.500000,90.000000,top
"C12","100n","C_0402_1005Metric",18.500000,-41.000000,90.000000,top
"C13","4.7u","C_0603_1608Metric",25.500000,-44.500000,90.000000,top
"C16","10u","C_0603_1608Metric",26.500000,-9.500000,90.000000,top
"D1","CHG","LED_0603_1608Metric",24.500000,-41.000000,0.000000,top
"D2","STATUS","LED_0603_1608Metric",23.500000,-32.000000,0.000000,top
"J1","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",12.000000,-49.000000,0.000000,top
"J2","AKKU","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",47.000000,-10.500000,180.000000,top
"J3","SPEAKER","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",46.500000,-43.500000,-90.000000,top
"J4","OLED SPI","JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical",38.000000,-17.500000,90.000000,top
"R1","5.1k","R_0402_1005Metric",7.000000,-41.500000,90.000000,top
"R2","5.1k","R_0402_1005Metric",9.000000,-41.500000,90.000000,top
"R3","4.7k","R_0402_1005Metric",31.500000,-26.000000,90.000000,top
"R4","4.7k","R_0402_1005Metric",31.500000,-29.500000,90.000000,top
"R5","10k","R_0402_1005Metric",23.000000,-23.500000,90.000000,top
"R6","1k","R_0402_1005Metric",21.000000,-41.000000,0.000000,top
"R7","1k","R_0402_1005Metric",23.500000,-30.000000,0.000000,top
"R8","100k","R_0402_1005Metric",17.500000,-36.500000,90.000000,top
"R9","1M","R_0402_1005Metric",14.500000,-36.500000,90.000000,top
"R10","1M","R_0402_1005Metric",12.000000,-36.500000,90.000000,top
"R11","2k","R_0402_1005Metric",24.000000,-44.500000,90.000000,top
"R12","0R","R_0402_1005Metric",10.000000,-4.800000,90.000000,top
"R13","1k","R_0402_1005Metric",13.500000,-17.200000,0.000000,top
"R14","2k","R_0402_1005Metric",16.500000,-17.200000,0.000000,top
"SW1","EIN/AUS","SW_SPDT_PCM12",3.200000,-45.500000,-90.000000,top
"SW2","RESET","SW_Push_1P1T_NO_CK_KMR2",47.000000,-34.000000,0.000000,top
"SW3","BOOT","SW_Push_1P1T_NO_CK_KMR2",20.500000,-49.500000,0.000000,top
"U1","ESP32-S3-MINI-1","ESP32-S3-MINI-1_compact",11.000000,-26.000000,90.000000,top
"U2","BMP581","BMP581_LGA-10_2x2mm",47.500000,-21.500000,0.000000,top
"U3","LSM6DSO32","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",26.500000,-27.500000,0.000000,top
"U4","SHT40","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",47.500000,-25.000000,0.000000,top
"U5","L96","Quectel_L96",18.000000,-8.100000,0.000000,top
"U6","MAX98357A","TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm",22.000000,-38.000000,0.000000,top
"U7","MCP73831","SOT-23-5",20.500000,-44.500000,0.000000,top
"U8","AP2112K-3.3","SOT-23-5",4.500000,-36.500000,0.000000,top
"U9","USBLC6","SOT-23-6",12.000000,-41.500000,0.000000,top
